observationTime,rf_prediction,actual,ECMWF,xgb_predicted,ensemble_rf_pred
2024-10-22,0.9790000000000004,0.0,1.7605906,1.1485696,
2024-10-23,0.1349999999999999,0.1,0.25154752,0.5123504,
2024-10-24,0.2670000000000001,0.0,0.13976932,0.11270393,
2024-10-25,0.0559999999999999,0.0,0.14112574,0.11449148,
2024-10-26,0.254,0.0,0.6987753,0.41214818,
2024-10-27,0.343,0.3,0.4144895,0.22265714,
2024-10-28,0.957,0.3,0.22544974,0.05718513,
2024-10-29,0.0859999999999999,0.3,0.243671,0.09847733,
2024-10-30,1.3299999999999996,2.2,1.7840973,1.2686559,
2024-10-31,2.27,4.0,2.3793783,2.2995238,
2024-11-01,3.066999999999999,4.9,4.699455,4.223224,
2024-11-02,0.088,0.2,0.023693085,0.2671417,
2024-11-03,1.378,1.4,1.6765832,1.5213943,
2024-11-04,0.048,0.8,0.0045876503,0.12299832,
2024-11-05,0.177,0.2,0.06189327,0.21202904,
2024-11-06,0.3170000000000001,0.0,0.3475604,0.20618592,
2024-11-07,0.0559999999999999,0.1,0.12895894,0.01427989,
2024-11-08,0.056,0.0,0.05213076,0.03141333,
2024-11-09,0.0819999999999999,0.0,0.18987675,0.03936994,
2024-11-10,0.006,0.0,0.015376193,0.18315287,
2024-11-11,0.001,0.0,5.9604645e-08,0.05051609,
2024-11-12,0.1799999999999999,0.0,0.40730974,0.260474,
2024-11-13,0.477,0.2,0.6245852,0.55081356,
2024-11-14,2.296,2.9,3.2433565,1.888269,
2024-11-15,0.046,0.0,0.013595343,0.15511872,
2024-11-16,0.684,0.5,0.797254,0.6572113,
2024-11-17,2.528979041219436,2.3,3.4095018,2.2643156,
2024-11-18,2.11,0.5,1.265656,1.2961777,
2024-11-19,3.385,3.0,4.4222264,3.6111224,
2024-11-20,2.600024838120241,5.0,3.645856,2.779922,
2024-11-21,3.918999999999999,3.2,4.452629,3.3327193,
2024-11-22,1.367,0.7,1.0886502,1.1401056,
2024-11-23,0.1129999999999999,0.1,0.06607747,0.20380485,
2024-11-24,0.008,0.0,0.0026127994,0.18695313,
2024-11-25,0.2700000000000001,0.0,0.058866024,0.58865005,
2024-11-26,1.3959999999999997,0.0,2.0167687,1.4627771,
2024-11-27,1.8449999999999995,4.3,1.9241881,1.1132584,
2024-11-28,4.579000000000001,4.5,8.396393,4.6119685,
2024-11-29,1.3560000000000003,0.7000000000000001,1.1503468,0.97530025,
2024-11-30,0.04,0.0,0.0035616755,0.22325248,
2024-12-01,0.012,0.0,0.008370101,0.10936423,
2024-12-02,0.066,0.0,0.07234377,0.019112665,
2024-12-03,1.952979041219435,3.1,2.67523,1.5187471,
2024-12-04,1.231,1.7000000000000002,0.81257725,0.6228396,
2024-12-05,0.2069999999999999,0.0,0.19715416,0.17848423,
2024-12-06,0.151,0.0,0.083571196,0.07510691,
2024-12-07,0.855,0.0,1.0017741,0.66731787,
2024-12-08,1.329979041219435,0.2,1.6429201,1.288514,
2024-12-09,0.024,0.0,0.0017808676,0.27940506,
2024-12-10,0.065,0.0,0.039328575,0.08616099,
2024-12-11,0.055,0.0,0.045476913,0.1186852,
2024-12-12,0.473,0.0,0.29306182,0.24707507,
2024-12-13,0.03,0.0,0.0,0.09816419,
2024-12-14,0.541,0.0,0.84595627,0.5879926,
2024-12-15,1.8239999999999996,1.6,1.9093292,1.2444693,
2024-12-16,5.609999999999998,10.4,7.381693,5.8905525,
2024-12-17,0.2789999999999998,0.5,0.22438622,0.25170434,
2024-12-18,3.470999999999999,2.9000000000000004,4.378453,3.4835603,
2024-12-19,1.4900000000000002,5.8,1.8559093,1.2598118,
2024-12-20,2.035,0.0,2.3674765,1.8980407,
2024-12-21,0.1519999999999999,0.0,0.03787613,0.26019758,
2024-12-22,1.871979041219436,0.4,1.6575832,1.5227596,
2024-12-23,3.923999999999998,0.8,4.30685,3.477616,
2024-12-24,0.2639999999999999,0.7000000000000001,0.14050984,0.63538986,
2024-12-25,0.5009999999999999,0.0,0.24512792,0.15133071,
2024-12-26,0.5279999999999998,0.1,0.29758716,0.21548508,
2024-12-27,0.8489999999999998,0.0,0.8175793,0.59035546,
2024-12-28,1.1079999999999992,3.0,0.9411472,0.73402554,
2024-12-29,2.331,0.0,0.30152035,0.287453,
2024-12-30,3.009999999999999,0.1,3.7274475,2.5003982,
2024-12-31,3.5200000000000014,3.6,1.5732329,2.1476314,
2025-01-01,3.285979041219436,0.7000000000000001,5.0136724,3.285871,
2025-01-02,6.409,3.4,5.584646,6.493416,
2025-01-03,2.451,0.8,1.8957067,6.0494204,
2025-01-04,1.7050000000000003,0.3,1.1593015,1.1010071,
2025-01-05,1.527,0.7,2.2101517,1.5057933,
2025-01-06,2.490000000000001,4.4,2.998252,2.3746831,
2025-01-07,3.862979041219435,3.7,4.5579815,4.946858,
2025-01-08,2.05,2.3,0.80000186,0.9210584,
2025-01-09,1.255,0.5,1.3397496,1.2510301,
2025-01-10,1.643000000000001,0.6,1.4914593,1.4560143,
2025-01-11,0.4820000000000001,0.0,0.2781803,0.3975011,
