time,step,latitude,longitude,tp,t2m,number,surface,valid_time,heightAboveGround
2006-11-03,0 days 06:00:00,54.925,25.275,0.17458892,268.04318,0,0.0,2006-11-03 06:00:00,2.0
2006-11-03,0 days 06:00:00,54.925,23.9,0.035735723,270.32175,0,0.0,2006-11-03 06:00:00,2.0
2006-11-03,0 days 06:00:00,54.925,21.15,1.3322208,275.18356,0,0.0,2006-11-03 06:00:00,2.0
2006-11-03,0 days 06:00:00,55.675,25.275,0.12504828,268.96213,0,0.0,2006-11-03 06:00:00,2.0
2006-11-03,0 days 06:00:00,55.675,23.9,0.82457805,270.45358,0,0.0,2006-11-03 06:00:00,2.0
2006-11-03,0 days 06:00:00,55.675,21.15,1.0859385,275.79538,0,0.0,2006-11-03 06:00:00,2.0
2006-11-03,0 days 12:00:00,54.675,25.275,0.61954397,270.49222,0,0.0,2006-11-03 12:00:00,2.0
2006-11-03,0 days 12:00:00,54.675,23.9,0.3557846,272.29044,0,0.0,2006-11-03 12:00:00,2.0
2006-11-03,0 days 12:00:00,54.675,21.15,1.5728669,275.58865,0,0.0,2006-11-03 12:00:00,2.0
2006-11-03,0 days 12:00:00,54.925,25.275,0.82016367,270.68484,0,0.0,2006-11-03 12:00:00,2.0
2006-11-03,0 days 12:00:00,54.925,23.9,0.52250904,272.43497,0,0.0,2006-11-03 12:00:00,2.0
2006-11-03,0 days 12:00:00,54.925,21.15,2.705559,276.4152,0,0.0,2006-11-03 12:00:00,2.0
2006-11-03,0 days 12:00:00,55.675,25.275,0.8015327,270.81216,0,0.0,2006-11-03 12:00:00,2.0
2006-11-03,0 days 12:00:00,55.675,23.9,1.40645,272.46182,0,0.0,2006-11-03 12:00:00,2.0
2006-11-03,0 days 12:00:00,55.675,21.15,2.343395,276.58804,0,0.0,2006-11-03 12:00:00,2.0
2006-11-03,0 days 18:00:00,54.675,25.275,0.7160553,268.41776,0,0.0,2006-11-03 18:00:00,2.0
2006-11-03,0 days 18:00:00,54.675,23.9,0.3625373,270.9849,0,0.0,2006-11-03 18:00:00,2.0
2006-11-03,0 days 18:00:00,54.675,21.15,2.5739055,274.2737,0,0.0,2006-11-03 18:00:00,2.0
2006-11-03,0 days 18:00:00,54.925,25.275,0.9054259,269.01492,0,0.0,2006-11-03 18:00:00,2.0
2006-11-03,0 days 18:00:00,54.925,23.9,0.5236553,271.09988,0,0.0,2006-11-03 18:00:00,2.0
2006-11-03,0 days 18:00:00,54.925,21.15,4.0325894,275.6221,0,0.0,2006-11-03 18:00:00,2.0
2006-11-03,0 days 18:00:00,55.675,25.275,0.8209113,267.93265,0,0.0,2006-11-03 18:00:00,2.0
2006-11-03,0 days 18:00:00,55.675,23.9,1.4069146,269.52908,0,0.0,2006-11-03 18:00:00,2.0
2006-11-03,0 days 18:00:00,55.675,21.15,3.8619976,276.32938,0,0.0,2006-11-03 18:00:00,2.0
2006-11-03,1 days 00:00:00,54.675,25.275,0.7190726,265.0442,0,0.0,2006-11-04 00:00:00,2.0
2006-11-03,1 days 00:00:00,54.675,23.9,0.36065698,268.21558,0,0.0,2006-11-04 00:00:00,2.0
2006-11-03,1 days 00:00:00,54.675,21.15,4.240494,274.81958,0,0.0,2006-11-04 00:00:00,2.0
2006-11-03,1 days 00:00:00,54.925,25.275,0.90586686,265.80347,0,0.0,2006-11-04 00:00:00,2.0
2006-11-03,1 days 00:00:00,54.925,23.9,0.52759576,269.77905,0,0.0,2006-11-04 00:00:00,2.0
2006-11-03,1 days 00:00:00,54.925,21.15,6.2058783,276.8181,0,0.0,2006-11-04 00:00:00,2.0
2006-11-03,1 days 00:00:00,55.675,25.275,0.8313601,260.52612,0,0.0,2006-11-04 00:00:00,2.0
2006-11-03,1 days 00:00:00,55.675,23.9,1.7714579,268.29907,0,0.0,2006-11-04 00:00:00,2.0
2006-11-03,1 days 00:00:00,55.675,21.15,6.4880095,277.57104,0,0.0,2006-11-04 00:00:00,2.0
2006-11-04,0 days 06:00:00,54.675,25.275,3.0674293,269.1708,0,0.0,2006-11-04 06:00:00,2.0
2006-11-04,0 days 06:00:00,54.675,23.9,3.0806496,273.10977,0,0.0,2006-11-04 06:00:00,2.0
2006-11-04,0 days 06:00:00,54.675,21.15,4.6312013,277.36563,0,0.0,2006-11-04 06:00:00,2.0
2006-11-04,0 days 06:00:00,54.925,25.275,2.8799436,269.41104,0,0.0,2006-11-04 06:00:00,2.0
2006-11-04,0 days 06:00:00,54.925,23.9,2.5018475,273.41544,0,0.0,2006-11-04 06:00:00,2.0
2006-11-04,0 days 06:00:00,54.925,21.15,5.2255673,278.24258,0,0.0,2006-11-04 06:00:00,2.0
2006-11-04,0 days 06:00:00,55.675,25.275,2.422228,269.15518,0,0.0,2006-11-04 06:00:00,2.0
2006-11-04,0 days 06:00:00,55.675,23.9,1.927563,272.57413,0,0.0,2006-11-04 06:00:00,2.0
2006-11-04,0 days 06:00:00,55.675,21.15,3.4234316,277.35733,0,0.0,2006-11-04 06:00:00,2.0
2006-11-04,0 days 12:00:00,54.675,25.275,4.315473,269.55902,0,0.0,2006-11-04 12:00:00,2.0
2006-11-04,0 days 12:00:00,54.675,23.9,3.4313087,271.59637,0,0.0,2006-11-04 12:00:00,2.0
2006-11-04,0 days 12:00:00,54.675,21.15,6.303534,275.27484,0,0.0,2006-11-04 12:00:00,2.0
2006-11-04,0 days 12:00:00,54.925,25.275,3.9414434,269.39618,0,0.0,2006-11-04 12:00:00,2.0
2006-11-04,0 days 12:00:00,54.925,23.9,2.7494535,271.23114,0,0.0,2006-11-04 12:00:00,2.0
2006-11-04,0 days 12:00:00,54.925,21.15,6.097806,275.95575,0,0.0,2006-11-04 12:00:00,2.0
2006-11-04,0 days 12:00:00,55.675,25.275,3.031361,269.81097,0,0.0,2006-11-04 12:00:00,2.0
2006-11-04,0 days 12:00:00,55.675,23.9,2.0454216,270.66986,0,0.0,2006-11-04 12:00:00,2.0
2006-11-04,0 days 12:00:00,55.675,21.15,3.5029283,275.36615,0,0.0,2006-11-04 12:00:00,2.0
2006-11-04,0 days 18:00:00,54.675,25.275,4.3293695,264.31506,0,0.0,2006-11-04 18:00:00,2.0
2006-11-04,0 days 18:00:00,54.675,23.9,3.4556494,268.3822,0,0.0,2006-11-04 18:00:00,2.0
2006-11-04,0 days 18:00:00,54.675,21.15,6.4289904,272.08508,0,0.0,2006-11-04 18:00:00,2.0
2006-11-04,0 days 18:00:00,54.925,25.275,3.9445562,265.80823,0,0.0,2006-11-04 18:00:00,2.0
2006-11-04,0 days 18:00:00,54.925,23.9,2.7583642,268.536,0,0.0,2006-11-04 18:00:00,2.0
2006-11-04,0 days 18:00:00,54.925,21.15,6.1335187,273.22693,0,0.0,2006-11-04 18:00:00,2.0
2006-11-04,0 days 18:00:00,55.675,25.275,3.030222,261.52893,0,0.0,2006-11-04 18:00:00,2.0
2006-11-04,0 days 18:00:00,55.675,23.9,2.045858,265.04846,0,0.0,2006-11-04 18:00:00,2.0
2006-11-04,0 days 18:00:00,55.675,21.15,3.5226936,273.63977,0,0.0,2006-11-04 18:00:00,2.0
2006-11-04,1 days 00:00:00,54.675,25.275,4.3354044,264.59903,0,0.0,2006-11-05 00:00:00,2.0
2006-11-04,1 days 00:00:00,54.675,23.9,3.4605627,267.12515,0,0.0,2006-11-05 00:00:00,2.0
2006-11-04,1 days 00:00:00,54.675,21.15,6.80943,270.92984,0,0.0,2006-11-05 00:00:00,2.0
2006-11-04,1 days 00:00:00,54.925,25.275,3.9454384,265.1293,0,0.0,2006-11-05 00:00:00,2.0
2006-11-04,1 days 00:00:00,54.925,23.9,2.7607222,267.55704,0,0.0,2006-11-05 00:00:00,2.0
2006-11-04,1 days 00:00:00,54.925,21.15,6.503484,272.30362,0,0.0,2006-11-05 00:00:00,2.0
2006-11-04,1 days 00:00:00,55.675,25.275,3.030222,264.23257,0,0.0,2006-11-05 00:00:00,2.0
2006-11-04,1 days 00:00:00,55.675,23.9,2.0488968,264.74356,0,0.0,2006-11-05 00:00:00,2.0
2006-11-04,1 days 00:00:00,55.675,21.15,4.0251236,273.20084,0,0.0,2006-11-05 00:00:00,2.0
2006-11-05,0 days 06:00:00,54.675,25.275,0.0038681421,266.91074,0,0.0,2006-11-05 06:00:00,2.0
2006-11-05,0 days 06:00:00,54.675,23.9,0.018406192,268.51498,0,0.0,2006-11-05 06:00:00,2.0
2006-11-05,0 days 06:00:00,54.675,21.15,0.5502586,270.80624,0,0.0,2006-11-05 06:00:00,2.0
2006-11-05,0 days 06:00:00,54.925,25.275,0.004944006,266.76132,0,0.0,2006-11-05 06:00:00,2.0
2006-11-05,0 days 06:00:00,54.925,23.9,0.020448724,268.78427,0,0.0,2006-11-05 06:00:00,2.0
2006-11-05,0 days 06:00:00,54.925,21.15,0.59827167,272.3243,0,0.0,2006-11-05 06:00:00,2.0
2006-11-05,0 days 06:00:00,55.675,25.275,0.0026244316,266.00302,0,0.0,2006-11-05 06:00:00,2.0
2006-11-05,0 days 06:00:00,55.675,23.9,0.040431418,268.03427,0,0.0,2006-11-05 06:00:00,2.0
2006-11-05,0 days 06:00:00,55.675,21.15,0.77464503,273.31747,0,0.0,2006-11-05 06:00:00,2.0
2006-11-05,0 days 12:00:00,54.675,25.275,0.018884506,269.01367,0,0.0,2006-11-05 12:00:00,2.0
2006-11-05,0 days 12:00:00,54.675,23.9,0.018405762,270.45972,0,0.0,2006-11-05 12:00:00,2.0
2006-11-05,0 days 12:00:00,54.675,21.15,7.5205564,272.4098,0,0.0,2006-11-05 12:00:00,2.0
2006-11-05,0 days 12:00:00,54.925,25.275,0.021332588,268.97266,0,0.0,2006-11-05 12:00:00,2.0
2006-11-05,0 days 12:00:00,54.925,23.9,0.020448532,270.4104,0,0.0,2006-11-05 12:00:00,2.0
2006-11-05,0 days 12:00:00,54.925,21.15,7.0235167,273.28345,0,0.0,2006-11-05 12:00:00,2.0
2006-11-05,0 days 12:00:00,55.675,25.275,0.01871666,269.05945,0,0.0,2006-11-05 12:00:00,2.0
2006-11-05,0 days 12:00:00,55.675,23.9,0.046223488,270.05823,0,0.0,2006-11-05 12:00:00,2.0
2006-11-05,0 days 12:00:00,55.675,21.15,3.618408,273.74243,0,0.0,2006-11-05 12:00:00,2.0
2006-11-05,0 days 18:00:00,54.675,25.275,0.018884506,266.27927,0,0.0,2006-11-05 18:00:00,2.0
2006-11-05,0 days 18:00:00,54.675,23.9,0.019763794,267.98483,0,0.0,2006-11-05 18:00:00,2.0
2006-11-05,0 days 18:00:00,54.675,21.15,9.647349,270.86227,0,0.0,2006-11-05 18:00:00,2.0
2006-11-05,0 days 18:00:00,54.925,25.275,0.02200779,266.22678,0,0.0,2006-11-05 18:00:00,2.0
2006-11-05,0 days 18:00:00,54.925,23.9,0.023149338,267.9199,0,0.0,2006-11-05 18:00:00,2.0
2006-11-05,0 days 18:00:00,54.925,21.15,8.831909,272.20285,0,0.0,2006-11-05 18:00:00,2.0
2006-11-05,0 days 18:00:00,55.675,25.275,0.01871666,265.03024,0,0.0,2006-11-05 18:00:00,2.0
2006-11-05,0 days 18:00:00,55.675,23.9,0.046223488,266.041,0,0.0,2006-11-05 18:00:00,2.0
2006-11-05,0 days 18:00:00,55.675,21.15,3.823302,272.55295,0,0.0,2006-11-05 18:00:00,2.0
2006-11-05,1 days 00:00:00,54.675,25.275,0.019321337,264.12927,0,0.0,2006-11-06 00:00:00,2.0
2006-11-05,1 days 00:00:00,54.675,23.9,0.018201724,266.75916,0,0.0,2006-11-06 00:00:00,2.0
2006-11-05,1 days 00:00:00,54.675,21.15,9.647349,261.61462,0,0.0,2006-11-06 00:00:00,2.0
2006-11-05,1 days 00:00:00,54.925,25.275,0.022006884,264.73914,0,0.0,2006-11-06 00:00:00,2.0
2006-11-05,1 days 00:00:00,54.925,23.9,0.023149386,266.91003,0,0.0,2006-11-06 00:00:00,2.0
2006-11-05,1 days 00:00:00,54.925,21.15,8.831992,268.19568,0,0.0,2006-11-06 00:00:00,2.0
2006-11-05,1 days 00:00:00,55.675,25.275,0.018716708,264.89587,0,0.0,2006-11-06 00:00:00,2.0
2006-11-05,1 days 00:00:00,55.675,23.9,0.046223536,263.60046,0,0.0,2006-11-06 00:00:00,2.0
2006-11-05,1 days 00:00:00,55.675,21.15,3.8250227,273.20593,0,0.0,2006-11-06 00:00:00,2.0
2006-11-06,0 days 06:00:00,54.675,25.275,-5.431844e-09,264.00964,0,0.0,2006-11-06 06:00:00,2.0
2006-11-06,0 days 06:00:00,54.675,23.9,-5.431844e-09,265.73914,0,0.0,2006-11-06 06:00:00,2.0
2006-11-06,0 days 06:00:00,54.675,21.15,0.08490109,269.6405,0,0.0,2006-11-06 06:00:00,2.0
2006-11-06,0 days 06:00:00,54.925,25.275,-5.431844e-09,264.2987,0,0.0,2006-11-06 06:00:00,2.0
2006-11-06,0 days 06:00:00,54.925,23.9,-5.431844e-09,266.4032,0,0.0,2006-11-06 06:00:00,2.0
2006-11-06,0 days 06:00:00,54.925,21.15,0.13674045,272.5155,0,0.0,2006-11-06 06:00:00,2.0
2006-11-06,0 days 06:00:00,55.675,25.275,-5.431844e-09,264.266,0,0.0,2006-11-06 06:00:00,2.0
2006-11-06,0 days 06:00:00,55.675,23.9,0.00050639565,266.42078,0,0.0,2006-11-06 06:00:00,2.0
2006-11-06,0 days 06:00:00,55.675,21.15,0.4456663,276.4579,0,0.0,2006-11-06 06:00:00,2.0
2006-11-06,0 days 12:00:00,54.675,25.275,0.19209099,269.84406,0,0.0,2006-11-06 12:00:00,2.0
2006-11-06,0 days 12:00:00,54.675,23.9,1.1776004,270.57037,0,0.0,2006-11-06 12:00:00,2.0
2006-11-06,0 days 12:00:00,54.675,21.15,3.426423,280.29474,0,0.0,2006-11-06 12:00:00,2.0
2006-11-06,0 days 12:00:00,54.925,25.275,0.29630852,269.80695,0,0.0,2006-11-06 12:00:00,2.0
2006-11-06,0 days 12:00:00,54.925,23.9,1.4305658,270.63702,0,0.0,2006-11-06 12:00:00,2.0
2006-11-06,0 days 12:00:00,54.925,21.15,3.5985622,281.98883,0,0.0,2006-11-06 12:00:00,2.0
2006-11-06,0 days 12:00:00,55.675,25.275,0.8192005,269.80646,0,0.0,2006-11-06 12:00:00,2.0
2006-11-06,0 days 12:00:00,55.675,23.9,2.7564692,270.763,0,0.0,2006-11-06 12:00:00,2.0
2006-11-06,0 days 12:00:00,55.675,21.15,4.7937346,283.01666,0,0.0,2006-11-06 12:00:00,2.0
2006-11-06,0 days 18:00:00,54.675,25.275,5.217148,275.96555,0,0.0,2006-11-06 18:00:00,2.0
2006-11-06,0 days 18:00:00,54.675,23.9,4.9059105,279.7446,0,0.0,2006-11-06 18:00:00,2.0
2006-11-06,0 days 18:00:00,54.675,21.15,4.382647,282.45114,0,0.0,2006-11-06 18:00:00,2.0
2006-11-06,0 days 18:00:00,54.925,25.275,5.4092727,276.0361,0,0.0,2006-11-06 18:00:00,2.0
2006-11-06,0 days 18:00:00,54.925,23.9,5.0050416,279.67575,0,0.0,2006-11-06 18:00:00,2.0
2006-11-06,0 days 18:00:00,54.925,21.15,4.5237064,283.43112,0,0.0,2006-11-06 18:00:00,2.0
2006-11-06,0 days 18:00:00,55.675,25.275,6.3218865,276.34225,0,0.0,2006-11-06 18:00:00,2.0
2006-11-06,0 days 18:00:00,55.675,23.9,6.1817226,279.07736,0,0.0,2006-11-06 18:00:00,2.0
2006-11-06,0 days 18:00:00,55.675,21.15,5.136241,283.15622,0,0.0,2006-11-06 18:00:00,2.0
2006-11-06,1 days 00:00:00,54.675,25.275,5.3027854,276.12683,0,0.0,2006-11-07 00:00:00,2.0
2006-11-06,1 days 00:00:00,54.675,23.9,4.914411,276.7074,0,0.0,2006-11-07 00:00:00,2.0
2006-11-06,1 days 00:00:00,54.675,21.15,4.4678426,281.04578,0,0.0,2006-11-07 00:00:00,2.0
2006-11-06,1 days 00:00:00,54.925,25.275,5.486009,276.11584,0,0.0,2006-11-07 00:00:00,2.0
2006-11-06,1 days 00:00:00,54.925,23.9,5.0088563,276.62268,0,0.0,2006-11-07 00:00:00,2.0
2006-11-06,1 days 00:00:00,54.925,21.15,4.6788197,282.61365,0,0.0,2006-11-07 00:00:00,2.0
2006-11-06,1 days 00:00:00,55.675,25.275,6.3867855,276.06238,0,0.0,2006-11-07 00:00:00,2.0
2006-11-06,1 days 00:00:00,55.675,23.9,6.195026,276.52527,0,0.0,2006-11-07 00:00:00,2.0
2006-11-06,1 days 00:00:00,55.675,21.15,5.1393805,282.92737,0,0.0,2006-11-07 00:00:00,2.0
2006-11-07,0 days 06:00:00,54.675,25.275,0.004393278,273.21405,0,0.0,2006-11-07 06:00:00,2.0
2006-11-07,0 days 06:00:00,54.675,23.9,0.0062715397,276.11908,0,0.0,2006-11-07 06:00:00,2.0
2006-11-07,0 days 06:00:00,54.675,21.15,0.64180005,282.039,0,0.0,2006-11-07 06:00:00,2.0
2006-11-07,0 days 06:00:00,54.925,25.275,0.0058391676,274.01605,0,0.0,2006-11-07 06:00:00,2.0
2006-11-07,0 days 06:00:00,54.925,23.9,0.004993795,275.7834,0,0.0,2006-11-07 06:00:00,2.0
2006-11-07,0 days 06:00:00,54.925,21.15,0.53562045,282.99652,0,0.0,2006-11-07 06:00:00,2.0
2006-11-07,0 days 06:00:00,55.675,25.275,0.0038146959,274.59906,0,0.0,2006-11-07 06:00:00,2.0
2006-11-07,0 days 06:00:00,55.675,23.9,-1.5092149e-09,275.36688,0,0.0,2006-11-07 06:00:00,2.0
2006-11-07,0 days 06:00:00,55.675,21.15,0.020488141,282.82416,0,0.0,2006-11-07 06:00:00,2.0
2006-11-07,0 days 12:00:00,54.675,25.275,0.2117579,279.323,0,0.0,2006-11-07 12:00:00,2.0
2006-11-07,0 days 12:00:00,54.675,23.9,0.6872382,280.22607,0,0.0,2006-11-07 12:00:00,2.0
2006-11-07,0 days 12:00:00,54.675,21.15,1.3296336,282.96155,0,0.0,2006-11-07 12:00:00,2.0
2006-11-07,0 days 12:00:00,54.925,25.275,0.16673946,279.20935,0,0.0,2006-11-07 12:00:00,2.0
2006-11-07,0 days 12:00:00,54.925,23.9,0.558898,280.25305,0,0.0,2006-11-07 12:00:00,2.0
2006-11-07,0 days 12:00:00,54.925,21.15,1.0574155,283.53943,0,0.0,2006-11-07 12:00:00,2.0
