stebejimo_laikas,oro_temp,juntamoji_temp,vejo_greitis,vejo_gusis,vejo_kryptis,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis,oro_salygos
2021-08-08,18.1125,18.120833333333334,3.0500000000000003,10.7,195.0,38.208333333333336,1012.2916666666666,86.08333333333333,2.3,giedra
2021-08-09,17.683333333333334,17.670833333333334,1.5666666666666667,7.6,316.0,46.391304347826086,1018.2624999999999,85.5,0.0,debesuota
2021-08-10,19.216666666666665,19.099999999999998,1.4875,7.5,88.0,37.25,1018.0666666666666,72.41666666666667,0.0,mažai debesuota
2021-08-11,16.154166666666665,16.154166666666665,1.4041666666666668,5.1,266.0,85.625,1014.7458333333334,88.70833333333333,1.3,debesuota
2021-08-12,15.945833333333333,15.945833333333333,2.6,8.4,278.0,53.958333333333336,1017.75,87.16666666666667,3.9,debesuota
2021-08-13,17.875,17.858333333333334,2.3291666666666666,6.9,276.0,33.34782608695652,1021.9250000000001,76.04166666666667,0.0,giedra
2021-08-14,19.724999999999998,19.720833333333335,2.9499999999999997,9.8,139.0,64.375,1017.1458333333334,73.875,0.0,debesuota
2021-08-15,18.558333333333334,18.5,2.8083333333333336,10.6,51.0,45.041666666666664,1012.8041666666667,72.125,0.0,giedra
2021-08-16,20.216666666666665,20.191666666666666,2.8125,8.0,138.0,23.083333333333332,1009.3874999999999,71.45833333333333,0.0,giedra
2021-08-17,17.033333333333335,17.033333333333335,2.8249999999999997,7.8,192.0,73.04166666666667,1006.4291666666667,88.875,9.700000000000001,debesuota
2021-08-18,14.816666666666668,14.816666666666668,4.116666666666666,11.0,180.0,47.583333333333336,1009.0791666666668,75.54166666666667,0.0,debesuota
2021-08-19,15.470833333333333,15.470833333333333,3.6958333333333333,10.3,185.0,80.0,1009.0625,79.16666666666667,0.1,debesuota
2021-08-20,16.8125,16.8125,2.316666666666667,7.9,205.0,83.54166666666667,1014.2083333333334,80.125,1.1,debesuota
2021-08-21,15.3125,15.3125,2.6,8.2,315.0,45.541666666666664,1016.6374999999999,77.20833333333333,5.8,giedra
2021-08-22,14.054166666666667,14.054166666666667,1.675,6.0,210.0,43.833333333333336,1019.6333333333333,78.66666666666667,0.0,giedra
2021-08-23,15.0875,15.0875,1.4000000000000001,5.1,161.0,7.875,1021.4875000000001,71.25,0.0,giedra
2021-08-24,12.554166666666667,12.554166666666667,2.3000000000000003,7.0,328.0,24.125,1022.5625,72.33333333333333,0.0,giedra
2021-08-25,12.395833333333334,12.395833333333334,1.9416666666666667,14.1,317.0,56.95454545454545,1014.7833333333333,74.20833333333333,0.0,debesuota
2021-08-26,12.870833333333332,12.870833333333332,2.6666666666666665,8.3,147.0,98.5,1008.4541666666668,82.54166666666667,2.4,debesuota
2021-08-27,16.066666666666666,16.066666666666666,1.2750000000000001,4.2,134.0,65.875,1012.3375,73.04166666666667,0.0,debesuota
2021-08-28,14.158333333333333,14.158333333333333,1.4083333333333332,4.9,178.0,93.0,1011.6875,93.04166666666667,1.7,debesuota
2021-08-29,14.754166666666668,14.754166666666668,2.3583333333333334,8.6,176.0,99.0,1012.9708333333333,94.875,7.4,nedidelis lietus
2021-08-30,14.754166666666668,14.754166666666668,2.1750000000000003,8.7,50.0,97.5,1012.5749999999999,92.91666666666667,16.0,debesuota
2021-08-31,15.629166666666668,15.629166666666668,1.6666666666666667,7.1,308.0,97.30434782608695,1009.5083333333333,94.91666666666667,20.0,debesuota
2021-09-01,13.987499999999999,13.987499999999999,2.9125,8.7,312.0,86.08333333333333,1012.8333333333334,81.83333333333333,0.4,debesuota
2021-09-02,11.424999999999999,11.424999999999999,3.0583333333333336,8.3,296.0,43.458333333333336,1017.3625000000001,72.0,0.0,debesuota su pragiedruliais
2021-09-03,11.35,11.35,3.1750000000000003,11.7,273.0,55.875,1012.2333333333332,83.54166666666667,3.5,debesuota
2021-09-04,9.220833333333333,9.120833333333334,2.1666666666666665,7.8,308.0,35.625,1018.3666666666667,78.16666666666667,0.1,giedra
2021-09-05,8.637500000000001,8.549999999999999,1.7583333333333335,6.9,279.0,60.65217391304348,1025.9624999999999,78.79166666666667,0.0,debesuota
2021-09-06,9.625,9.625,1.2249999999999999,4.0,88.0,62.291666666666664,1027.5083333333334,76.16666666666667,0.0,debesuota
2021-09-07,11.362499999999999,11.241666666666667,2.004166666666667,6.1,147.0,28.791666666666668,1026.0249999999999,72.0,0.0,giedra
2021-09-08,14.200000000000001,14.200000000000001,2.4583333333333335,8.3,161.0,12.0,1022.7791666666667,68.91666666666667,0.0,giedra
2021-09-09,16.3,16.2375,2.3333333333333335,6.8,168.0,6.333333333333333,1019.1416666666668,75.66666666666667,0.0,giedra
2021-09-10,17.220833333333335,17.129166666666666,1.8708333333333333,5.1,115.0,0.0,1017.4291666666667,72.83333333333333,0.0,giedra
2021-09-11,17.629166666666666,17.537499999999998,2.254166666666667,7.3,120.0,0.5416666666666666,1015.9625,70.04166666666667,0.0,giedra
2021-09-12,16.974999999999998,16.974999999999998,1.9375,5.2,146.0,32.458333333333336,1013.3458333333333,81.83333333333333,0.0,giedra
2021-09-13,15.808333333333332,15.808333333333332,3.0541666666666667,9.3,271.0,84.625,1012.8833333333333,84.5,1.0,debesuota
2021-09-14,10.520833333333334,10.520833333333334,1.5666666666666667,5.6,297.0,49.625,1018.9041666666667,82.0,0.0,debesuota
2021-09-15,10.020833333333334,9.954166666666667,1.1416666666666666,3.2,126.0,65.29166666666667,1020.2583333333333,82.875,0.0,debesuota
2021-09-16,11.466666666666667,11.466666666666667,2.283333333333333,7.3,88.0,93.95833333333333,1016.5541666666667,80.125,9.8,debesuota
2021-09-17,9.420833333333333,9.420833333333333,3.0625,9.2,68.0,100.0,1011.7791666666667,93.20833333333333,1.1,debesuota
2021-09-18,6.5375000000000005,6.5375000000000005,3.5041666666666664,9.4,45.0,100.0,1012.3083333333334,88.04166666666667,8.2,nedidelis lietus
2021-09-19,6.091666666666666,6.004166666666666,3.341666666666667,9.9,42.0,100.0,1012.3583333333332,92.5,9.0,nedidelis lietus
2021-09-20,5.016666666666667,3.658333333333333,2.5166666666666666,7.5,314.0,100.0,1015.5791666666668,94.16666666666667,2.0,nedidelis lietus
2021-09-21,5.575,4.8500000000000005,2.495833333333333,6.3,299.0,100.0,1018.6208333333334,91.66666666666667,0.0,debesuota
2021-09-22,6.125,6.125,2.2624999999999997,7.1,316.0,100.0,1018.8208333333333,90.375,0.1,debesuota
2021-09-23,8.845833333333333,8.845833333333333,3.2125,10.1,185.0,90.25,1007.6291666666666,88.04166666666667,9.8,debesuota
2021-09-24,9.958333333333334,9.958333333333334,4.220833333333333,11.3,287.0,95.5,997.0416666666666,90.375,6.3,lietus
2021-09-25,11.924999999999999,11.924999999999999,3.720833333333333,11.7,270.0,67.375,1007.75,89.125,1.5,lietus
