observationTime,airTemperature,seaLevelPressure,relativeHumidity,missforest_precipitation,cloudCover_fixed,feelsLikeTemperature_fixed,windSpeed_fixed,windGust_fixed,windDirection_fixed
2019-07-16,14.475,1008.4250000000001,77.04166666666667,8.4,60.708333333333336,14.475,1.5333333333333332,14.5,2.0
2019-07-17,14.066666666666668,1006.8375,83.0,0.4,73.79166666666667,14.066666666666668,2.7416666666666667,8.2,291.0
2019-07-18,16.283333333333335,1009.3791666666666,77.41666666666667,0.0,69.08333333333333,16.283333333333335,3.045833333333333,10.1,301.0
2019-07-19,18.45,1013.0416666666666,63.625,0.0,4.25,18.349999999999998,2.8833333333333333,10.2,279.0
2019-07-20,19.945833333333333,1015.8375,57.708333333333336,0.0,4.75,19.770833333333332,0.9916666666666667,6.7,7.0
2019-07-21,22.733333333333334,1016.4625,53.916666666666664,0.0,26.708333333333332,22.483333333333334,1.7625,9.7,165.0
2019-07-22,18.462500000000002,1016.5749999999999,81.70833333333333,3.8,85.66666666666667,18.462500000000002,2.9333333333333336,10.8,300.0
2019-07-23,17.966666666666665,1016.2375000000001,72.0,0.0,71.20833333333333,17.966666666666665,3.2583333333333333,8.7,298.0
2019-07-24,21.245833333333334,1016.4833333333332,64.875,0.0,46.625,21.133333333333333,2.2708333333333335,10.3,7.0
2019-07-25,19.758333333333333,1017.0916666666667,71.375,6.3999999999999995,31.916666666666668,19.683333333333334,2.4166666666666665,15.1,316.0
2019-07-26,18.229166666666668,1015.4958333333334,78.08333333333333,0.0,70.66666666666667,18.229166666666668,2.766666666666667,10.0,52.0
2019-07-27,18.379166666666666,1014.9250000000001,90.70833333333333,7.9,89.5,18.379166666666666,1.625,7.2,65.0
2019-07-28,22.2375,1011.5625,74.29166666666667,0.0,25.136363636363637,22.358333333333334,1.4583333333333333,6.9,77.0
2019-07-29,23.429166666666664,1007.9125,69.91666666666667,0.0,15.166666666666666,23.754166666666666,1.25,7.6,104.0
2019-07-30,19.545833333333334,1007.3791666666666,64.08333333333333,0.0,48.25,19.508333333333333,2.1374999999999997,8.8,20.0
2019-07-31,14.754166666666668,1013.0958333333333,66.45833333333333,0.0,64.75,14.725,2.5083333333333333,9.1,325.0
2019-08-01,14.075000000000001,1015.0333333333333,79.20833333333333,1.9,95.0,14.075000000000001,1.1416666666666666,4.8,304.0
2019-08-02,15.595833333333333,1011.5458333333332,75.75,2.4,61.75,15.595833333333333,1.6624999999999999,8.9,293.0
2019-08-03,15.108333333333334,1010.2166666666667,72.25,3.0,51.875,15.058333333333332,1.9958333333333333,9.9,304.0
2019-08-04,15.075000000000001,1010.3541666666666,64.16666666666667,0.0,49.208333333333336,15.058333333333332,1.9041666666666668,9.0,16.0
2019-08-05,14.704166666666666,1011.1291666666666,62.833333333333336,0.0,5.791666666666667,14.679166666666667,2.058333333333333,10.4,291.0
2019-08-06,16.595833333333335,1010.4541666666668,65.25,0.0,40.833333333333336,16.537499999999998,1.5999999999999999,10.2,23.0
2019-08-07,18.916666666666668,1008.1041666666666,76.125,0.5,69.04166666666667,18.8875,1.4291666666666665,6.4,161.0
2019-08-08,17.45,1004.025,87.04166666666667,34.6,72.25,17.45,3.4291666666666667,15.4,287.0
2019-08-09,16.658333333333335,1009.6666666666666,80.04166666666667,0.0,46.166666666666664,16.658333333333335,2.6791666666666667,16.5,305.0
2019-08-10,16.6375,1014.8958333333334,78.08333333333333,0.0,49.61904761904762,16.6375,1.05,5.7,79.0
2019-08-11,19.724999999999998,1014.4333333333334,71.625,5.4,50.291666666666664,19.666666666666668,2.2416666666666667,13.7,132.0
2019-08-12,20.370833333333334,1015.4916666666667,66.29166666666667,0.0,62.208333333333336,20.375,2.275,8.3,150.0
2019-08-13,19.741666666666667,1011.2375000000001,79.0,8.399999999999999,63.375,19.741666666666667,2.091666666666667,8.3,145.0
2019-08-14,14.495833333333332,1014.3083333333334,91.0,9.700000000000001,75.29166666666667,14.495833333333332,0.5875,4.1,2.0
2019-08-15,15.299999999999999,1015.7666666666668,75.5,0.1,17.875,15.299999999999999,1.3625,6.9,250.0
2019-08-16,16.520833333333332,1016.6333333333333,66.45833333333333,0.0,7.333333333333333,16.491666666666667,0.5791666666666667,4.2,130.0
2019-08-17,18.337500000000002,1016.1833333333334,60.041666666666664,0.0,4.791666666666667,18.154166666666665,0.7541666666666668,4.6,125.0
2019-08-18,19.6875,1012.8625000000001,61.583333333333336,0.0,9.041666666666666,19.583333333333332,2.120833333333333,7.5,145.0
2019-08-19,22.59166666666667,1013.4250000000001,65.54166666666667,5.9,59.208333333333336,22.741666666666664,3.108333333333333,9.2,195.0
2019-08-20,19.983333333333334,1021.5041666666666,76.375,0.9,62.25,19.945833333333333,0.2125,3.6,335.0
2019-08-21,16.645833333333332,1021.4666666666667,91.83333333333333,23.8,84.79166666666667,16.645833333333332,2.5500000000000003,13.4,38.0
2019-08-22,15.183333333333332,1028.9916666666666,80.79166666666667,0.0,18.9,15.183333333333332,0.6916666666666668,5.5,296.0
2019-08-23,17.033333333333335,1029.7541666666666,71.75,0.0,44.0,17.033333333333335,1.2249999999999999,5.9,130.0
2019-08-24,18.433333333333334,1027.3041666666666,67.375,0.0,1.5833333333333333,18.329166666666666,1.825,7.0,150.0
2019-08-25,20.095833333333335,1027.6125,69.66666666666667,0.0,13.666666666666666,20.041666666666668,0.8375,5.2,11.0
2019-08-26,20.645833333333332,1027.2124999999999,67.16666666666667,0.0,8.416666666666666,20.608333333333334,0.8916666666666667,5.9,153.0
2019-08-27,20.854166666666668,1026.1125,67.875,0.0,2.1666666666666665,20.8625,0.47500000000000003,4.8,11.0
2019-08-28,20.6375,1024.8458333333333,67.125,0.0,10.5,20.595833333333335,1.7625,7.5,118.0
2019-08-29,20.900000000000002,1020.2166666666667,67.20833333333333,3.7,32.958333333333336,20.916666666666668,3.6750000000000003,9.7,140.0
2019-08-30,19.983333333333334,1020.4499999999999,84.58333333333333,0.0,34.625,20.016666666666666,1.9583333333333333,8.3,248.0
2019-08-31,19.120833333333334,1022.0916666666667,82.0,0.0,32.285714285714285,19.141666666666666,1.0541666666666667,4.9,308.0
2019-09-01,19.462500000000002,1017.4708333333333,70.5,0.0,1.0833333333333333,19.408333333333335,1.5916666666666668,7.2,132.0
2019-09-02,19.583333333333332,1013.9458333333333,75.91666666666667,0.4,23.541666666666668,19.675,3.329166666666667,10.9,153.0
