,time,dust,sia,pm2p5,pans,nmvoc,nh3,pm10
842,2020-04-22,0.10616306,1.1940874,4.74314,0.98603004,2.6784527,0.6214339,6.329452
843,2020-04-23,0.26047274,2.0427701,6.3131995,1.1152686,3.3021393,0.99508756,8.193099
844,2020-04-24,0.21332236,2.5390217,5.852314,1.1175603,2.8064888,0.93212837,7.7032495
845,2020-04-25,0.15627867,1.4759502,4.0749116,0.92862505,2.3636715,0.6953035,5.896673
846,2020-04-26,0.059199736,0.6154296,3.1048062,0.8254753,2.0193055,0.61759,3.8385599
847,2020-04-27,0.068638735,1.2455254,3.5321872,0.8932727,2.2213829,0.8317272,5.8690968
848,2020-04-28,0.36817226,7.9259496,12.099158,2.2339265,5.1118684,1.6977404,17.366762
849,2020-04-29,0.048806768,1.8199968,4.638003,1.3344913,3.0590355,0.6608098,4.820145
850,2020-04-30,0.01772425,1.1601375,3.71403,1.5325001,2.8652866,0.43219456,4.841659
851,2020-05-01,0.089511186,1.1101029,4.353762,1.818941,3.695986,0.59283376,5.0372686
852,2020-05-02,0.22002257,2.179048,7.4882245,2.4089987,6.198893,0.3980076,6.7312446
853,2020-05-03,0.044473853,2.8765326,6.879459,2.4375966,4.818493,0.37903824,8.415028
854,2020-05-04,0.041975304,1.5498773,4.715902,1.7928728,3.380103,0.43149078,6.693538
855,2020-05-05,0.039223064,1.2873234,4.7252254,1.6620048,3.5648463,0.2706954,5.2204385
856,2020-05-06,0.06476926,1.0981983,4.3672338,1.4953352,4.0264626,0.18493275,4.6645994
857,2020-05-07,0.029928014,0.5012313,3.1214554,0.75386447,1.7461864,0.22569354,4.9456077
858,2020-05-08,0.04235943,0.90108985,3.5338862,0.81401825,2.1293364,0.33329585,5.8310184
859,2020-05-09,0.14653505,3.2031155,7.2901044,1.4653469,3.2999508,0.47781965,10.4506
860,2020-05-10,0.09633398,2.082432,6.0277495,1.3973999,3.2874415,0.520117,8.187556
861,2020-05-11,0.45770577,2.8603048,7.1003647,1.8536888,5.8963,0.4344424,10.397486
862,2020-05-12,0.009627979,0.34495378,1.6587709,0.9289591,1.645414,0.16807705,2.2873075
863,2020-05-13,0.01568562,2.0921478,4.6898155,1.2403251,3.1260655,0.26125106,6.0426297
864,2020-05-14,0.0067498316,0.69878596,2.406537,0.97824496,1.8321886,0.30399778,3.0497997
865,2020-05-15,0.020458335,1.23983,3.642863,1.0477058,2.0502555,0.21726276,5.422294
866,2020-05-16,0.050833303,1.8073748,5.391304,0.87024146,2.4474747,0.18848747,9.293541
867,2020-05-17,0.054292064,1.4981084,4.1873517,0.82099575,2.528951,0.24820401,6.860798
868,2020-05-18,0.02349972,0.54890996,2.638239,0.80735105,1.9691359,0.20712024,4.6331697
869,2020-05-19,0.033471227,0.80558294,2.953415,0.97036177,2.500311,0.19739985,3.3348627
870,2020-05-20,0.03983785,0.6417595,3.0757034,0.9560487,1.8463825,0.19950955,3.6526453
871,2020-05-21,0.027054645,0.93598753,4.2775574,1.0187553,1.846643,0.15220897,4.271116
872,2020-05-22,0.055191543,1.0648729,4.157657,1.108648,2.3415568,0.17645758,4.102747
873,2020-05-23,0.060539827,0.98501897,3.3263233,1.0985969,2.3156528,0.32308075,4.066162
874,2020-05-24,0.05465724,1.2747605,4.864657,1.7158294,3.8009512,0.42159796,4.8412905
875,2020-05-25,0.048476096,1.5653211,5.511505,1.2916569,3.3643906,0.3090866,9.263995
876,2020-05-26,0.044641245,1.0114753,4.276669,1.7163358,4.5475736,0.3632737,4.481592
877,2020-05-27,0.11264048,1.0423951,4.9627852,1.3690977,3.8719358,0.4111636,6.2204576
878,2020-05-28,0.048772797,1.1218581,4.6618075,1.3426946,3.8763542,0.48875383,7.097713
879,2020-05-29,0.029854536,0.6786652,3.7682247,0.9015543,2.5578196,0.23838449,5.9484425
880,2020-05-30,0.07731787,0.7932262,3.6139438,0.92503524,2.9451926,0.17737098,4.0491433
881,2020-05-31,0.046168838,0.48083878,2.6099,0.6677909,2.174344,0.17642266,2.9397974
882,2020-06-01,0.013577845,0.6359232,2.5029128,0.6365667,1.8026966,0.14522265,3.3519757
883,2020-06-02,0.034368377,0.7831295,3.077915,1.1657327,2.2530336,0.091844134,3.8986251
884,2020-06-03,0.037706684,1.3135537,3.8437645,1.8806537,4.3680716,0.30596948,4.471232
885,2020-06-04,0.02318199,1.0653654,3.8336961,2.3630683,5.122354,0.44149852,4.1113224
886,2020-06-05,0.16619834,1.2512215,4.485944,2.0955741,5.588883,0.48645744,5.1257825
887,2020-06-06,0.24142985,1.639198,5.834465,2.309238,6.2590604,0.5009671,7.086769
888,2020-06-07,0.65521824,1.5317761,6.287445,1.229391,6.271297,0.42632118,7.525271
889,2020-06-08,6.743238,3.006217,12.351138,1.0418247,5.7963223,0.40393245,19.027239
890,2020-06-09,1.7068261,2.908515,9.424371,1.2411033,6.677755,0.22334033,10.658671
891,2020-06-10,1.7348853,2.5763137,9.084041,1.0569565,6.9488773,0.29685134,10.547655
892,2020-06-11,6.3393974,3.3737967,12.844067,0.9470938,7.569182,0.40393305,16.017633
893,2020-06-12,3.2494242,1.9083405,8.805591,0.9634323,6.921389,0.29075286,11.834025
894,2020-06-13,0.50796443,0.8895035,3.913062,1.1653508,4.0654783,0.1616263,5.0348897
895,2020-06-14,0.16407967,0.8132224,3.383701,1.5264474,3.6393738,0.1139088,3.63667
896,2020-06-15,0.5407126,1.0436667,4.6330714,1.3634027,4.629353,0.30269974,5.5142484
897,2020-06-16,1.1234287,1.7530303,6.100628,1.4157977,6.0503306,0.49378276,8.973167
898,2020-06-17,4.036959,2.7167408,9.8411665,1.0654885,6.3364434,0.14976732,15.158816
899,2020-06-18,8.049782,3.024583,12.484746,0.9079136,6.4969573,0.23975855,20.762999
900,2020-06-19,10.073037,2.1837661,14.44435,0.9577704,6.135566,0.20160812,20.144453
901,2020-06-20,4.7122197,1.915182,9.86754,1.0058247,6.0284424,0.19612002,12.230297
902,2020-06-21,1.1833811,1.207763,7.573422,1.1529413,6.68665,0.11507559,9.112824
903,2020-06-22,0.69749016,1.7489127,7.260613,1.434461,5.733599,0.23140936,8.680306
904,2020-06-23,0.46153775,1.479538,5.5110564,1.3660129,4.2517257,0.2167769,6.7295895
905,2020-06-24,0.15394871,1.3959899,5.3378296,1.0895256,4.018785,0.23432283,5.8974304
906,2020-06-25,0.23164904,1.2187469,5.0529637,0.8895994,4.0479293,0.48300722,6.0414157
907,2020-06-26,0.37089708,1.0385157,5.477619,0.9916365,5.9215827,0.8123757,6.623323
908,2020-06-27,0.41075754,1.4682704,6.016622,1.0497102,5.3771973,0.5051885,6.296866
909,2020-06-28,0.16115354,1.5679027,5.8716545,1.9234099,7.737736,0.21653318,7.5379753
910,2020-06-29,0.35039195,1.6168998,6.7425423,1.2934403,7.5489297,0.5153817,7.627459
911,2020-06-30,0.09827229,1.50285,4.6520696,1.3856068,5.5120773,0.46363056,6.990867
912,2020-07-01,0.14536165,2.159136,5.907431,1.854643,5.484783,0.71941596,8.778548
913,2020-07-02,0.2624052,1.3611273,4.9934273,1.6119455,5.096585,0.20168316,5.147392
914,2020-07-03,0.13649587,1.3845272,4.7342563,1.1981905,4.8861456,0.408998,5.9037204
