time,tp,t2m
2021-05-22,18.477865,11.782166
2021-05-23,13.622,7.967407
2021-05-24,0.71852267,9.766693
2021-05-25,9.191488,14.173676
2021-05-26,5.680825,11.191376
2021-05-27,0.84889525,8.760559
2021-05-28,0.46533635,9.519562
2021-05-29,3.3942924,10.001801
2021-05-30,0.0,9.43396
2021-05-31,0.0,9.675934
2021-06-01,0.0070061684,10.195343
2021-06-02,0.0,12.8845825
2021-06-03,0.14735077,11.739319
2021-06-04,0.0017809868,12.596741
2021-06-05,1.9676845,14.088989
2021-06-06,0.15669209,14.56723
2021-06-07,0.044347763,15.755066
2021-06-08,0.28241253,15.370422
2021-06-09,15.812418,15.11142
2021-06-10,3.0111237,13.561066
2021-06-11,2.0879326,12.984314
2021-06-12,4.9436803,13.740997
2021-06-13,4.275112,12.234375
2021-06-14,0.0,11.829651
2021-06-15,0.7675582,11.386597
2021-06-16,0.0,11.624756
2021-06-17,0.0,15.818085
2021-06-18,0.0,17.243835
2021-06-19,0.0,19.419312
2021-06-20,0.05511725,21.769165
2021-06-21,0.0,22.592987
2021-06-22,0.24525467,23.636658
2021-06-23,5.7228374,20.132935
2021-06-24,4.914049,22.051575
2021-06-25,11.136464,19.471832
2021-06-26,13.589359,19.210175
2021-06-27,20.45189,16.511475
2021-06-28,3.4132533,16.254608
2021-06-29,0.194098,16.335663
2021-06-30,0.0033268929,19.49121
2021-07-01,4.961031,19.701141
2021-07-01,4.961031,19.701141
2021-07-02,0.21231842,18.317749
2021-07-03,0.14901876,17.747467
2021-07-04,0.38063622,18.901367
2021-07-05,0.54226875,19.99356
2021-07-06,16.374784,19.187378
2021-07-07,0.34694168,20.819427
2021-07-08,0.15194818,21.905823
2021-07-09,0.0,22.216187
2021-07-10,0.06055069,20.040314
2021-07-11,3.759388,20.917023
2021-07-12,1.2945223,20.865295
2021-07-13,1.7502098,21.94226
2021-07-14,10.347227,19.683197
2021-07-15,0.0,22.945984
2021-07-16,0.78718567,22.549011
2021-07-17,9.965862,21.09787
2021-07-18,7.0349693,18.060577
2021-07-19,0.41588497,16.717163
2021-07-20,0.060254097,16.784424
2021-07-21,0.44537878,14.316223
2021-07-22,0.015376329,16.812195
2021-07-23,0.08306503,18.260315
2021-07-24,0.0,14.386169
2021-07-25,0.03392583,18.560974
2021-07-26,0.017780304,22.369751
2021-07-27,11.626347,20.385498
2021-07-28,0.803665,20.494781
2021-07-29,2.2092705,17.761963
2021-07-30,0.25288582,17.349548
2021-07-31,4.6564035,18.906738
2021-08-01,7.0464635,18.614166
2021-08-02,23.781105,15.124908
2021-08-03,2.378613,13.470093
2021-08-04,3.7041624,15.56311
2021-08-05,0.9302683,14.403961
2021-08-06,17.095636,17.262085
2021-08-07,3.4285183,14.4800415
2021-08-08,3.7997973,15.72403
2021-08-09,1.8345013,14.331116
2021-08-10,0.4571769,15.96698
2021-08-11,6.4299984,15.303741
2021-08-12,2.9560199,14.8168335
2021-08-13,0.005965948,16.687622
2021-08-14,1.2604152,16.401428
2021-08-15,0.28270555,13.824951
2021-08-16,5.0694504,18.953064
2021-08-17,16.806063,14.72644
2021-08-18,0.10375595,14.314331
2021-08-19,1.2315466,14.824036
2021-08-20,2.5520275,16.148987
2021-08-21,7.6216235,12.013702
2021-08-22,0.4501702,13.434082
2021-08-23,0.14763367,11.545441
2021-08-24,0.007779151,9.30188
2021-08-25,0.102939606,13.241669
2021-08-26,3.298914,14.23877
2021-08-27,0.003326416,13.648956
2021-08-28,15.087783,14.460602
2021-08-29,4.637499,14.963623
2021-08-30,7.924257,16.14331
2021-08-31,4.1111164,15.361908
2021-09-01,0.83063316,11.521179
2021-09-02,0.1598768,9.885956
2021-09-03,3.650136,8.197723
2021-09-04,0.3577184,7.7846375
2021-09-05,0.19676542,7.75412
2021-09-06,0.0,11.53067
2021-09-07,0.0,10.423798
2021-09-08,0.0,12.747772
2021-09-09,0.0,14.6085205
2021-09-10,0.0,13.7222595
2021-09-11,0.0,14.488007
2021-09-12,4.5701942,16.140808
2021-09-13,0.88750756,12.429901
2021-09-14,0.0,8.866943
2021-09-15,0.0,8.18222
2021-09-16,12.587722,12.628571
2021-09-17,0.7685259,9.423889
2021-09-18,11.704048,7.9497375
2021-09-19,15.657763,6.0315857
2021-09-20,2.9854593,5.726837
2021-09-21,0.5779314,6.677246
2021-09-22,0.84878683,7.340912
2021-09-23,11.175772,12.482574
2021-09-24,7.8240337,11.070801
2021-09-25,2.3778076,10.019318
2021-09-26,0.0,5.939148
2021-09-27,0.0058485046,9.674011
2021-09-28,0.0016634464,9.160706
2021-09-29,0.05734837,9.012634
2021-09-30,0.10213375,10.41748
2021-10-01,0.7806988,9.398102
2021-10-01,0.7806988,9.398102
2021-10-02,3.7436547,11.335785
2021-10-03,0.7138853,9.966431
2021-10-04,0.0,11.414307
2021-10-05,0.0,10.438263
2021-10-06,0.0,8.626709
2021-10-07,0.0,3.5587158
2021-10-08,0.0,1.3865662
2021-10-09,0.0,0.8129883
2021-10-10,0.0,2.5729675
2021-10-11,0.0,4.8418274
2021-10-12,1.3285598,4.4360657
2021-10-13,0.042984024,6.117676
2021-10-14,0.62521833,7.1394043
2021-10-15,3.7038317,10.403107
2021-10-16,1.3362095,7.2531433
2021-10-17,1.3909702,8.270538
2021-10-18,1.1343923,2.5587769
2021-10-19,0.40588465,6.847687
2021-10-20,4.915468,14.119293
2021-10-21,3.8299532,9.553711
2021-10-22,3.4649122,6.1916504
2021-10-23,0.7248116,4.3103333
2021-10-24,0.13412178,1.7490234
2021-10-25,0.0,4.0862427
2021-10-26,0.51668644,7.1686707
2021-10-27,2.4898674,11.721222
2021-10-28,1.1837546,10.059448
2021-10-29,0.0,9.00293
2021-10-30,0.0,9.076324
2021-10-31,0.0,7.004883
2021-11-01,0.0,6.1874695
2021-11-02,0.79197836,7.2411194
2021-11-03,11.249862,5.694458
2021-11-04,0.943774,11.387665
2021-11-05,1.5486162,7.0910645
2021-11-06,3.6622844,8.651123
2021-11-07,8.225571,7.3700867
2021-11-08,2.6944928,1.0045166
2021-11-09,0.0,2.1037598
2021-11-10,0.25809765,3.3851929
2021-11-11,1.0195595,7.751404
2021-11-12,0.17167348,1.4891357
2021-11-13,0.18797937,3.579193
2021-11-14,0.27066034,1.9151917
2021-11-15,0.12095332,1.610199
2021-11-16,0.21286422,3.8770752
2021-11-17,0.9084672,5.02948
2021-11-18,4.691345,5.8427124
2021-11-19,4.7528243,8.656464
2021-11-20,8.180848,8.401703
2021-11-21,6.426261,3.2680054
2021-11-22,0.20099139,-4.5662537
2021-11-23,2.3406868,0.67922974
2021-11-24,0.17125875,5.9545593
2021-11-25,0.44867265,3.0006104
2021-11-26,2.193465,1.782074
2021-11-27,8.346287,1.7008667
2021-11-28,0.47468093,1.1390686
2021-11-29,15.497057,-2.2752686
2021-11-30,2.089684,-1.9256287
2021-12-01,1.8240266,-0.5227051
2021-12-01,1.8240266,-0.5227051
2021-12-02,4.605688,1.8795166
2021-12-03,0.09784223,-1.7051392
2021-12-04,1.9711301,0.23495483
2021-12-05,0.60680133,-2.3741455
2021-12-06,1.1445379,-5.4069214
2021-12-07,0.16668907,-14.212891
2021-12-08,0.015258789,-13.23703
2021-12-09,0.24045655,-1.7454224
2021-12-10,4.4235673,3.4177246
2021-12-11,5.7835703,0.6625061
2021-12-12,0.23725183,-0.96173096
2021-12-13,0.1224263,-1.4645996
2021-12-14,1.0051578,0.8635254
2021-12-15,0.55748564,3.717743
2021-12-16,0.43132126,1.1850586
2021-12-17,0.27857983,0.45999146
2021-12-18,2.8835142,3.7254639
2021-12-19,1.764236,0.033996582
2021-12-20,1.1130486,-7.575226
2021-12-21,0.2558602,-9.15506
2021-12-22,0.09910536,-9.659607
2021-12-23,0.8453388,-4.930786
2021-12-24,2.9560404,-8.827087
2021-12-25,0.025292397,-5.0341187
2021-12-26,1.3208014,-5.832367
2021-12-27,0.09523191,-6.3780212
2021-12-28,0.04159133,-8.757111
2021-12-29,0.04589379,-6.9820557
2021-12-30,1.0298507,1.931427
2021-12-31,3.5347526,3.192047
2022-01-01,1.1420192,-4.915222
2022-01-02,16.08648,3.8385315
2022-01-03,6.4123516,3.5280151
2022-01-04,9.035198,1.7649841
2022-01-05,2.4396632,1.2480469
2022-01-06,0.9015397,-4.9709167
2022-01-07,0.3004035,-2.4603882
2022-01-08,0.15855408,-2.0876465
2022-01-09,0.017039657,-2.8240356
2022-01-10,0.06584346,-1.3825073
2022-01-11,0.17000169,-8.806152
2022-01-12,0.04996139,-1.8114014
2022-01-13,0.18671164,4.096863
2022-01-14,0.6987072,1.0210571
2022-01-15,0.21083805,-1.6037292
2022-01-16,1.2392275,1.0717468
2022-01-17,7.005287,-1.9553223
2022-01-18,0.85847896,-0.25402832
2022-01-19,0.20761466,1.1828003
2022-01-20,5.6377287,-1.0119324
2022-01-21,4.792604,-2.1922607
2022-01-22,0.918801,-2.7622375
2022-01-23,0.16126508,-11.076691
2022-01-24,0.3263011,0.15856934
2022-01-25,1.0898926,-1.3097229
2022-01-26,2.404476,1.2160645
2022-01-27,4.390582,2.325714
2022-01-28,4.474101,-0.82492065
2022-01-29,7.3986216,2.4793396
2022-01-30,6.016577,-1.0406799
2022-01-31,3.7638562,-4.78183
2022-02-01,0.8507241,-3.4555664
2022-02-02,2.3921611,-3.6801453
2022-02-03,0.6706293,-5.834076
2022-02-04,1.4297785,-0.31924438
2022-02-05,2.9524064,1.892395
2022-02-06,4.0047894,2.2825317
2022-02-07,4.3093534,0.34362793
2022-02-08,2.9158053,3.204834
2022-02-09,2.6976101,4.685547
2022-02-10,1.5729929,1.9172974
2022-02-11,0.9945053,-0.31066895
2022-02-12,0.7197391,-2.4523926
2022-02-13,0.0,-1.1653748
2022-02-14,0.0,0.84762573
2022-02-15,0.017039776,1.848114
2022-02-16,2.6945875,5.8633423
2022-02-17,12.047271,2.3906555
2022-02-18,2.7237935,2.5705872
2022-02-19,8.890833,1.7972717
2022-02-20,2.4554844,1.8910828
2022-02-21,6.540658,3.034912
2022-02-22,2.6890936,-0.651886
2022-02-23,1.5660464,1.4908752
2022-02-24,0.015258789,2.0086365
2022-02-25,0.71014965,0.6309204
2022-02-26,0.3316381,-2.9887695
2022-02-27,0.021107286,-5.274353
2022-02-28,0.0,-3.9506226
2022-03-01,0.0,-4.5220337
2022-03-02,0.0,-3.8315735
2022-03-03,0.24850775,0.6104126
2022-03-01,0.0,-4.5220337
2022-03-02,0.0,-3.8315735
2022-03-03,0.24850775,0.6104126
