BrO,BrO_Error,H2O,H2O_Error,HCHO,HCHO_Error,NO2,NO2Tropo,NO2Tropo_Error,NO2_Error,O3,O3_Error,SO2,SO2_Error,lat,lon,date,km_to_Vilnius
39548134000000.0,17536052000000.0,9.734066,16.071827,-3238987300000000.0,2837005500000000.0,4071870900000000.0,,,420728220000000.0,368.9216,0.7589209,-0.074990205,0.3031875,54.692276,25.604692,2017-05-02,20.89519565265202
54013820000000.0,20348200000000.0,,,-8509214000000000.0,9249982000000000.0,2810694800000000.0,-2571118600000000.0,2191253900000000.0,497687100000000.0,339.2314,0.79769933,0.46826604,0.48287597,54.779644,25.611517,2017-05-03,23.653587575262073
42023860000000.0,17452990000000.0,12.668021,19.96856,1.1672887e+16,5654706000000000.0,2752568600000000.0,,,478047270000000.0,341.88098,0.8041476,-0.539319,2.546819,54.653893,25.629087,2017-05-04,22.769298869273364
52291005000000.0,14793021000000.0,,,-9600130000000000.0,9673092000000000.0,3625047400000000.0,106253380000000.0,1143871100000000.0,245773770000000.0,376.81876,0.66481227,-0.2369816,1.713878,54.687256,24.785946,2017-05-05,31.73600518819642
21530856000000.0,15679774000000.0,17.49305,17.318079,3.0295349e+16,8506897300000000.0,3782181800000000.0,955010300000000.0,1960346400000000.0,407114380000000.0,354.70474,0.7960703,-0.20489667,1.9471605,54.813934,25.41924,2017-05-06,16.696711495534966
40989580000000.0,14306734000000.0,,,,,3381799800000000.0,,,257841990000000.0,346.8916,1.132575,0.011699275,0.025379254,54.744835,25.172346,2017-05-07,9.413642841976452
35050435000000.0,17430433000000.0,,,,,3446051000000000.0,,,361619500000000.0,373.10583,0.8095656,0.011588721,0.029528026,54.778442,25.177937,2017-05-08,12.067326579988572
61459703000000.0,14510794000000.0,,,,,4055330000000000.0,,,288229720000000.0,429.74048,0.7991601,-0.68275946,0.7863284,54.59705,25.218153,2017-05-09,10.778183871192878
47280548000000.0,12518215000000.0,3.1042836,19.087862,,,4290098000000000.0,,,247071700000000.0,435.7411,0.6713031,0.33176848,0.43466926,54.800858,25.203878,2017-05-10,13.542823222789863
55994923000000.0,14139045000000.0,2.7323697,19.976988,,,4117470300000000.0,,,306909500000000.0,421.7626,0.70449215,-0.21477261,5.063197,54.907944,24.985464,2017-05-11,30.954889974324672
